StateName,StateAbbrev,DataLevel,Charter,SchoolName,SchoolType,NCESSchoolID,StateAssignedSchoolID,DistrictName,DistrictType,NCESDistrictID,StateAssignedDistrictID,EnrollmentTotal,TimePeriodInterval,TimePeriodStart,TimePeriodEnd,LearningModel,LearningModelGrK5,LearningModelGr68,LearningModelGr912,LearningModelStateCat,LearningModelStateCatGrK5,LearningModelStateCatGr68,LearningModelStateCatGr912,EnrollmentInPerson,EnrollmentHybrid,EnrollmentVirtual,StaffCount,StaffCountInPerson
Alabama,AL,School,No,Meadow View  Elementary School,Regular school,010019001460,5,Alabaster City,Regular local school district,0100190,103,812,Monthly,1/1/21,1/31/21,In-person,,,,In Person,,,,,,,,
Alabama,AL,School,No,Meadow View  Elementary School,Regular school,010019001460,5,Alabaster City,Regular local school district,0100190,103,812,Monthly,2/1/21,2/28/21,In-person,,,,In Person,,,,,,,,
Alabama,AL,School,No,Meadow View  Elementary School,Regular school,010019001460,5,Alabaster City,Regular local school district,0100190,103,812,Monthly,3/1/21,3/31/21,In-person,,,,In Person,,,,,,,,
Alabama,AL,School,No,Meadow View  Elementary School,Regular school,010019001460,5,Alabaster City,Regular local school district,0100190,103,812,Monthly,4/1/21,4/30/21,In-person,,,,In Person,,,,,,,,
Alabama,AL,School,No,Meadow View  Elementary School,Regular school,010019001460,5,Alabaster City,Regular local school district,0100190,103,812,Monthly,5/1/21,5/31/21,In-person,,,,In Person,,,,,,,,
Alabama,AL,School,No,Thompson High School,Regular school,010019001183,50,Alabaster City,Regular local school district,0100190,103,2098,Monthly,8/1/20,8/31/20,Hybrid,,,,Hybrid,,,,,,,,
Alabama,AL,School,No,Thompson High School,Regular school,010019001183,50,Alabaster City,Regular local school district,0100190,103,2098,Monthly,9/1/20,9/30/20,In-person,,,,In Person,,,,,,,,
Alabama,AL,School,No,Thompson High School,Regular school,010019001183,50,Alabaster City,Regular local school district,0100190,103,2098,Monthly,10/1/20,10/31/20,In-person,,,,In Person,,,,,,,,
Alabama,AL,School,No,Thompson High School,Regular school,010019001183,50,Alabaster City,Regular local school district,0100190,103,2098,Monthly,11/1/20,11/30/20,In-person,,,,In Person,,,,,,,,
Alabama,AL,School,No,Thompson High School,Regular school,010019001183,50,Alabaster City,Regular local school district,0100190,103,2098,Monthly,12/1/20,12/31/20,In-person,,,,In Person,,,,,,,,
Alabama,AL,School,No,Thompson High School,Regular school,010019001183,50,Alabaster City,Regular local school district,0100190,103,2098,Monthly,1/1/21,1/31/21,In-person,,,,In Person,,,,,,,,
